"Designator","NozzleNum","StackNum","Mid X","Mid Y","Rotation","Height","Speed","Vision","Pressure","Explanation"
""
"C1","1","L3","111.57","26.79","270.00","0.50","100","None","True","0:C0805 "
"C1","1","L3","12.57","26.79","270.00","0.50","100","None","True","0:C0805 "
"C1","1","L3","12.57","167.79","270.00","0.50","100","None","True","0:C0805 "
"C1","1","L3","12.57","120.79","270.00","0.50","100","None","True","0:C0805 "
"C1","1","L3","12.57","73.79","270.00","0.50","100","None","True","0:C0805 "
"C1","1","L3","111.57","73.79","270.00","0.50","100","None","True","0:C0805 "
"C1","1","L3","111.57","120.79","270.00","0.50","100","None","True","0:C0805 "
"C1","1","L3","111.57","167.79","270.00","0.50","100","None","True","0:C0805 "
"C3","1","L3","180.58","118.90","90.00","0.50","100","None","True","0:C0805 "
"C3","1","L3","180.58","165.90","90.00","0.50","100","None","True","0:C0805 "
"C3","1","L3","180.58","24.90","90.00","0.50","100","None","True","0:C0805 "
"C3","1","L3","81.58","24.90","90.00","0.50","100","None","True","0:C0805 "
"C3","1","L3","81.58","71.90","90.00","0.50","100","None","True","0:C0805 "
"C3","1","L3","81.58","165.90","90.00","0.50","100","None","True","0:C0805 "
"C3","1","L3","81.58","118.90","90.00","0.50","100","None","True","0:C0805 "
"C3","1","L3","180.58","71.90","90.00","0.50","100","None","True","0:C0805 "
"LED29","1","L10","4.37","4.19","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED29","1","L10","103.37","51.19","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED29","1","L10","103.37","98.19","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED29","1","L10","103.37","4.19","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED29","1","L10","4.37","145.19","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED29","1","L10","103.37","145.19","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED29","1","L10","4.37","98.19","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED29","1","L10","4.37","51.19","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED30","1","L12","13.46","4.09","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED30","1","L12","112.46","4.09","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED30","1","L12","112.46","145.09","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED30","1","L12","112.46","98.09","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED30","1","L12","13.46","51.09","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED30","1","L12","13.46","98.09","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED30","1","L12","13.46","145.09","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED30","1","L12","112.46","51.09","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED31","1","L11","166.28","58.50","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED31","1","L11","166.28","152.50","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED31","1","L11","166.28","105.50","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED31","1","L11","166.28","11.50","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED31","1","L11","67.28","11.50","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED31","1","L11","67.28","105.50","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED31","1","L11","67.28","58.50","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED31","1","L11","67.28","152.50","90.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED32","1","L11","122.27","11.99","360.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED32","1","L11","23.27","58.99","360.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED32","1","L11","23.27","105.99","360.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED32","1","L11","122.27","105.99","360.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED32","1","L11","122.27","58.99","360.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED32","1","L11","23.27","152.99","360.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED32","1","L11","122.27","152.99","360.00","0.50","100","None","True","0:CHIPLED_1206 "
"LED32","1","L11","23.27","11.99","360.00","0.50","100","None","True","0:CHIPLED_1206 "
"R1","1","L5","9.57","178.59","180.00","0.50","100","None","True","0:0805 "
"R1","1","L5","9.57","37.59","180.00","0.50","100","None","True","0:0805 "
"R1","1","L5","9.57","84.59","180.00","0.50","100","None","True","0:0805 "
"R1","1","L5","9.57","131.59","180.00","0.50","100","None","True","0:0805 "
"R1","1","L5","108.57","37.59","180.00","0.50","100","None","True","0:0805 "
"R1","1","L5","108.57","84.59","180.00","0.50","100","None","True","0:0805 "
"R1","1","L5","108.57","131.59","180.00","0.50","100","None","True","0:0805 "
"R3","1","L2","117.08","173.79","180.00","0.50","100","None","True","0:0805 "
"R3","1","L2","18.08","79.79","180.00","0.50","100","None","True","0:0805 "
"R3","1","L2","18.08","126.79","180.00","0.50","100","None","True","0:0805 "
"R3","1","L2","18.08","173.79","180.00","0.50","100","None","True","0:0805 "
"R3","1","L2","117.08","32.79","180.00","0.50","100","None","True","0:0805 "
"R3","1","L2","117.08","126.79","180.00","0.50","100","None","True","0:0805 "
"R3","1","L2","117.08","79.79","180.00","0.50","100","None","True","0:0805 "
"R3","1","L2","18.08","32.79","180.00","0.50","100","None","True","0:0805 "
"R30","1","L1","92.39","123.21","360.00","0.50","100","None","True","0:0805  1K"
"R30","1","L1","92.39","76.21","360.00","0.50","100","None","True","0:0805  1K"
"R30","1","L1","92.39","170.21","360.00","0.50","100","None","True","0:0805  1K"
"R30","1","L1","191.39","29.21","360.00","0.50","100","None","True","0:0805  1K"
"R30","1","L1","191.39","76.21","360.00","0.50","100","None","True","0:0805  1K"
"R30","1","L1","191.39","170.21","360.00","0.50","100","None","True","0:0805  1K"
"R30","1","L1","191.39","123.21","360.00","0.50","100","None","True","0:0805  1K"
"R30","1","L1","92.39","29.21","360.00","0.50","100","None","True","0:0805  1K"
"R32","1","L1","82.05","4.93","360.00","0.50","100","None","True","0:0805  1K"
"R32","1","L1","82.05","98.93","360.00","0.50","100","None","True","0:0805  1K"
"R32","1","L1","82.05","51.93","360.00","0.50","100","None","True","0:0805  1K"
"R32","1","L1","82.05","145.93","360.00","0.50","100","None","True","0:0805  1K"
"R32","1","L1","181.05","4.93","360.00","0.50","100","None","True","0:0805  1K"
"R32","1","L1","181.05","51.93","360.00","0.50","100","None","True","0:0805  1K"
"R32","1","L1","181.05","145.93","360.00","0.50","100","None","True","0:0805  1K"
"R32","1","L1","181.05","98.93","360.00","0.50","100","None","True","0:0805  1K"
"R33","1","L7","189.81","52.54","90.00","0.50","100","None","True","0:0805 "
"R33","1","L7","189.81","99.54","90.00","0.50","100","None","True","0:0805 "
